"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903900","GO:1903900","regulation of viral life cycle","36/1762","136/17073",7.55936928899118e-08,3.78847028828466e-05,3.4831569517917e-05,"LTF/RFPL3/MID2/PABPC1/PPIE/HMGB1/SNX3/VPS37B/DDX5/ILF3/TOP2B/INPP5K/TRIM38/NOTCH1/TRIM25/APOBEC3C/ZC3HAV1/ZNFX1/ADAR/LGALS9/TRIM5/IFIT5/OAS1/ADARB1/ISG20/IFIH1/EIF2AK2/OASL/ISG15/OAS2/MX1/OAS3/LY6E/IFIT1/RSAD2/APOBEC3H",36
"GO:0050792","GO:0050792","regulation of viral process","40/1762","160/17073",8.07479071005529e-08,3.78847028828466e-05,3.4831569517917e-05,"LTF/RFPL3/MID2/PABPC1/PPIE/HMGB1/SNX3/VPS37B/DDX5/ILF3/TOP2B/DHX9/INPP5K/TRIM38/TBC1D20/NOTCH1/TRIM25/STOM/APOBEC3C/ZC3HAV1/ZNFX1/ADAR/LGALS9/HEXIM1/TRIM5/IFIT5/OAS1/ADARB1/ISG20/IFIH1/EIF2AK2/OASL/ISG15/OAS2/MX1/OAS3/LY6E/IFIT1/RSAD2/APOBEC3H",40
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","63/1762","309/17073",9.07107645561574e-08,3.78847028828466e-05,3.4831569517917e-05,"RBMXL3/SLC39A5/CELF3/RBFOX1/NPM1/FRA10AC1/ARB2A/SNRPD1/FRG1/CWC15/PABPC1/PNN/HNRNPA3/PPIE/FXR1/HNRNPA1/RBM39/HTATSF1/STRAP/DDX46/HNRNPC/LSM3/HNRNPR/HNRNPH3/CWC25/SNRNP27/PRPF4B/SNRPG/PSIP1/RSRC1/LUC7L2/NCL/SRRM1/TXNL4A/CWC27/ZMAT2/RBM17/HNRNPU/PRPF38A/C9orf78/SYNCRIP/SRSF9/RBMX/HNRNPH1/HNRNPA2B1/HNRNPM/DDX5/PQBP1/THRAP3/WTAP/PRPF40A/DHX9/KHDRBS1/SNRNP200/HNRNPK/RBM42/DHX8/SF3A2/SF3B3/XAB2/SF3B4/PHF5A/SRSF7",63
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","63/1762","309/17073",9.07107645561574e-08,3.78847028828466e-05,3.4831569517917e-05,"RBMXL3/SLC39A5/CELF3/RBFOX1/NPM1/FRA10AC1/ARB2A/SNRPD1/FRG1/CWC15/PABPC1/PNN/HNRNPA3/PPIE/FXR1/HNRNPA1/RBM39/HTATSF1/STRAP/DDX46/HNRNPC/LSM3/HNRNPR/HNRNPH3/CWC25/SNRNP27/PRPF4B/SNRPG/PSIP1/RSRC1/LUC7L2/NCL/SRRM1/TXNL4A/CWC27/ZMAT2/RBM17/HNRNPU/PRPF38A/C9orf78/SYNCRIP/SRSF9/RBMX/HNRNPH1/HNRNPA2B1/HNRNPM/DDX5/PQBP1/THRAP3/WTAP/PRPF40A/DHX9/KHDRBS1/SNRNP200/HNRNPK/RBM42/DHX8/SF3A2/SF3B3/XAB2/SF3B4/PHF5A/SRSF7",63
"GO:0044788","GO:0044788","modulation by host of viral process","19/1762","48/17073",1.00627048164964e-07,3.92244233747031e-05,3.60633217528752e-05,"LTF/PIK3C2G/VAPA/SMC5/EEF1A1/NUCKS1/SMC6/EEA1/CDC42/PSMC3/RAB5A/PI4KA/CSF1R/TBC1D20/CCNK/STOM/ZFYVE1/CCL8/APOBEC3H",19
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","83/1762","462/17073",3.17835336926717e-07,0.000116148950938157,0.00010678849116347,"CELF3/NPM3/AFG2A/MPHOSPH6/RPS24/SBDS/RPL5/RPL24/NSA2/RPL26/EIF3C/NPM1/NMD3/DNTTIP2/SNRPD1/FRG1/CPSF6/NOP58/RPL6/UTP18/RSL24D1/XRCC5/HTATSF1/DDX21/EIF3L/RPS8/EIF2S2/STRAP/DDX46/RPS5/HSP90AB1/EIF3E/RPS3A/RPS16/DHX29/SNRPG/PSIP1/EIF3J/EIF3H/LUC7L2/RPL7/RPL10A/RPS27/RPL26L1/RPL23A/HSP90AA1/GNL2/XRN2/RPL7A/TXNL4A/RSL1D1/RPL11/NOP14/RPS11/DENR/EIF2S3/TRMT112/SRSF9/RPL14/PTGES3/DDX27/RPL35A/EIF3D/EIF3A/EIF3M/SERBP1/DHX9/SNRNP200/SF3A2/TSC1/TRAF7/SF3B3/XAB2/SF3B4/DHX37/SRFBP1/PHF5A/TBL3/NSUN5/ERI2/ADAR/METTL15/ISG20",83
"GO:0045071","GO:0045071","negative regulation of viral genome replication","19/1762","52/17073",4.43955802947621e-07,0.000152694681166749,0.000140388996015697,"LTF/ILF3/INPP5K/APOBEC3C/ZC3HAV1/ZNFX1/IFIT5/OAS1/ISG20/IFIH1/EIF2AK2/OASL/ISG15/OAS2/MX1/OAS3/IFIT1/RSAD2/APOBEC3H",19
"GO:0032728","GO:0032728","positive regulation of interferon-beta production","16/1762","39/17073",5.76952692948128e-07,0.000187413466425984,0.000172309789642461,"POLR3G/HSP90AA1/DHX9/IRF3/IRF5/STING1/POLR3A/TRIM56/TICAM1/OAS1/RIGI/IFIH1/IRF7/ISG15/OAS2/OAS3",16
"GO:0051851","GO:0051851","modulation by host of symbiont process","25/1762","85/17073",8.69114168507873e-07,0.000267458449645554,0.000245903936762865,"LTF/PIK3C2G/SAP30/VAPA/SMC5/EEF1A1/NUCKS1/SMC6/EEA1/HDAC1/CDC42/PSMC3/RAB5A/SAP30BP/PI4KA/EP300/SP1/INPP5K/CSF1R/TBC1D20/CCNK/STOM/ZFYVE1/CCL8/APOBEC3H",25
"GO:0071826","GO:0071826","protein-RNA complex organization","46/1762","217/17073",1.57303567670883e-06,0.000459876980085825,0.000422815431629051,"CELF3/DYRK3/RPL5/RPL24/EIF3C/SNRPD1/CPSF6/RPL6/XRCC5/HTATSF1/EIF3L/EIF2S2/STRAP/DDX46/RPS5/HSP90AB1/EIF3E/DHX29/SNRPG/PSIP1/EIF3J/EIF3H/LUC7L2/RPS27/RPL23A/HSP90AA1/TXNL4A/RPL11/DENR/EIF2S3/SRSF9/PTGES3/EIF3D/EIF3A/EIF3M/KIF5B/DHX9/SNRNP200/DHX8/SF3A2/TRAF7/SF3B3/XAB2/SF3B4/PHF5A/ADAR",46
"GO:1903312","GO:1903312","negative regulation of mRNA metabolic process","25/1762","88/17073",1.76800359278331e-06,0.000492262714619239,0.000452591195405733,"IGF2BP1/LARP1B/NPM1/PABPC1/BARD1/HNRNPC/TAF15/HNRNPA0/YBX1/HNRNPU/ZC3H14/SYNCRIP/SRSF9/RBMX/HNRNPA2B1/THRAP3/DHX9/HNRNPD/HNRNPK/RBM42/LARP4B/ANGEL2/SRSF7/MAPK14/TRAF2",25
"GO:0048525","GO:0048525","negative regulation of viral process","25/1762","90/17073",2.77577684075509e-06,0.000737725781267955,0.000678272360083074,"LTF/MID2/SNX3/ILF3/INPP5K/TRIM25/APOBEC3C/ZC3HAV1/ZNFX1/HEXIM1/TRIM5/IFIT5/OAS1/ISG20/IFIH1/EIF2AK2/OASL/ISG15/OAS2/MX1/OAS3/LY6E/IFIT1/RSAD2/APOBEC3H",25
"GO:0060338","GO:0060338","regulation of type I interferon-mediated signaling pathway","16/1762","44/17073",3.8606749386642e-06,0.000981450711581285,0.000902355465069018,"WNT5A/PTPN2/CDC37/IRF3/STING1/TTLL12/TRIM56/TREX1/ADAR/STAT2/OAS1/IRF7/ZBP1/ISG15/OAS3/USP18",16
"GO:0019827","GO:0019827","stem cell population maintenance","39/1762","178/17073",4.15616058687409e-06,0.0010125446229772,0.000930943513910788,"ESRRB/NODAL/NR2E1/TUBA3C/HES1/BMP7/MMP24/PRRX1/SOX2/LIN28A/EOMES/IGF2BP1/SAP30/ING2/RBBP7/SMC5/TPT1/HDAC2/NKAP/ARID4A/SMC3/GNL3/SMARCE1/BRD9/HDAC1/SUDS3/RTF1/SMARCC1/SMARCA2/CNOT1/CNOT3/SPI1/MED15/EIF4E/ARID1A/NOTCH1/ASCL2/MED12/HESX1",39
"GO:0098727","GO:0098727","maintenance of cell number","39/1762","181/17073",6.3469592732074e-06,0.00148442683481775,0.00136479667403243,"ESRRB/NODAL/NR2E1/TUBA3C/HES1/BMP7/MMP24/PRRX1/SOX2/LIN28A/EOMES/IGF2BP1/SAP30/ING2/RBBP7/SMC5/TPT1/HDAC2/NKAP/ARID4A/SMC3/GNL3/SMARCE1/BRD9/HDAC1/SUDS3/RTF1/SMARCC1/SMARCA2/CNOT1/CNOT3/SPI1/MED15/EIF4E/ARID1A/NOTCH1/ASCL2/MED12/HESX1",39
"GO:0001732","GO:0001732","formation of cytoplasmic translation initiation complex","9/1762","16/17073",7.5808582665797e-06,0.0015849208483259,0.00145719186130546,"EIF3C/EIF3L/EIF2S2/EIF3E/EIF3J/EIF3H/EIF3D/EIF3A/EIF3M",9
"GO:0044793","GO:0044793","negative regulation by host of viral process","9/1762","16/17073",7.5808582665797e-06,0.0015849208483259,0.00145719186130546,"LTF/VAPA/SMC5/NUCKS1/SMC6/PSMC3/CCNK/CCL8/APOBEC3H",9
"GO:0022618","GO:0022618","protein-RNA complex assembly","43/1762","209/17073",7.58983816540535e-06,0.0015849208483259,0.00145719186130546,"CELF3/RPL5/RPL24/EIF3C/SNRPD1/CPSF6/RPL6/XRCC5/HTATSF1/EIF3L/EIF2S2/STRAP/DDX46/RPS5/HSP90AB1/EIF3E/DHX29/SNRPG/PSIP1/EIF3J/EIF3H/LUC7L2/RPS27/RPL23A/HSP90AA1/TXNL4A/RPL11/DENR/EIF2S3/SRSF9/PTGES3/EIF3D/EIF3A/EIF3M/DHX9/SNRNP200/SF3A2/TRAF7/SF3B3/XAB2/SF3B4/PHF5A/ADAR",43
"GO:0019058","GO:0019058","viral life cycle","57/1762","307/17073",7.98648985693296e-06,0.00161024159287886,0.00148047200360641,"LTF/RFPL3/MID2/CDK1/CR2/VAPA/SMC5/DEK/PABPC1/EEF1A1/NUCKS1/PPIE/HTATSF1/HMGB1/SNX3/HSP90AB1/LAMTOR5/SMC6/VPS37B/CHMP1B/DDX5/ILF3/TOP2B/SELPLG/RNASEK/INPP5K/TRIM38/TBC1D20/NOTCH1/TRIM25/CCNK/STOM/APOBEC3C/ZC3HAV1/ZNFX1/ZFYVE1/ADAR/LGALS9/TRIM5/IFIT5/OAS1/ADARB1/ISG20/IFIH1/EIF2AK2/OASL/ISG15/OAS2/MX1/OAS3/LY6E/IFIT1/CCL8/RSAD2/SIGLEC1/CCL2/APOBEC3H",57
"GO:1900152","GO:1900152","negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","7/1762","10/17073",1.11622778797117e-05,0.00217552795875582,0.00200020186426975,"IGF2BP1/PABPC1/YBX1/HNRNPU/SYNCRIP/DHX9/HNRNPD",7
"GO:0002183","GO:0002183","cytoplasmic translational initiation","14/1762","38/17073",1.30334652419633e-05,0.00245827971837934,0.00226016662107663,"EIF3C/EIF3L/EIF2S2/EIF3E/DHX29/EIF3J/EIF3H/EIF4A2/DENR/EIF2S3/SH3BGRL/EIF3D/EIF3A/EIF3M",14
"GO:0002274","GO:0002274","myeloid leukocyte activation","46/1762","235/17073",1.46069915070017e-05,0.00266897122941996,0.00245387847454795,"CTSG/IL18RAP/IL6/PLA2G2A/CAMK4/WNT5A/TSLP/MAPT/CPLX2/SNCA/S100A12/SNX4/HSPD1/HMGB1/ANXA1/APP/STXBP3/PJA2/BTK/TGFBR2/PSEN1/SPI1/LTBR/LAT2/LILRA2/NOTCH2/FES/ITGB2/CBL/PRKCD/TYROBP/UNC13D/CEBPA/PIK3CD/BATF/GRN/TREX1/SPHK2/TICAM1/LGALS9/TMEM229B/IFI35/IRF4/RAB44/IL31RA/BATF2",46
"GO:0032481","GO:0032481","positive regulation of type I interferon production","20/1762","70/17073",1.70477418144476e-05,0.00302054989057803,0.00277712336352101,"POLR3G/HSPD1/HSP90AA1/PQBP1/DHX9/IRF3/IRF5/STING1/POLR3A/ZC3HAV1/TRIM56/TICAM1/OAS1/RIGI/IFIH1/DHX58/IRF7/ISG15/OAS2/OAS3",20
"GO:1903131","GO:1903131","mononuclear cell differentiation","78/1762","476/17073",2.41864048194075e-05,0.00406530104919364,0.00373767788397684,"PGLYRP1/IL6/LAG3/WNT10B/CAMK4/CCR7/NRARP/CCR9/JAG2/AIRE/HOXA7/SOX13/ITK/CR2/EOMES/GPR68/ZNF683/ZEB1/FLT3/TOX/NFIL3/CDK6/GPR89B/LIPA/THOC5/HMGB1/SOD1/ANXA1/RPL22/NKAP/XBP1/PTPN2/SMARCE1/KAT7/RNF41/SMARCC1/SMARCA2/TOP2B/AP3B1/XRCC6/BTK/NCKAP1L/TGFBR2/STAT6/PSEN1/SPI1/LTBR/NOTCH2/EP300/TSC1/FES/SEMA4A/INPP5D/CSF1R/SPN/ZMIZ1/ARID1A/RARA/MR1/TNFSF8/ZBTB7B/SYVN1/LYL1/PIK3CD/ASCL2/LMBR1L/BATF/PIK3R6/ZFP36L1/LGALS9/MYB/IRF4/IL2RG/IRF7/IL31RA/BATF2/RSAD2/PSMB11",78
"GO:0044827","GO:0044827","modulation by host of viral genome replication","11/1762","26/17073",2.43347933507401e-05,0.00406530104919364,0.00373767788397684,"VAPA/SMC5/EEF1A1/NUCKS1/SMC6/TBC1D20/CCNK/STOM/ZFYVE1/CCL8/APOBEC3H",11
"GO:0000723","GO:0000723","telomere maintenance","32/1762","145/17073",2.51996052520589e-05,0.00409283588635524,0.00376299368486155,"CCNE1/HUS1B/FBXO4/SMC5/HNRNPA1/XRCC5/CCT2/HNRNPC/HSP90AB1/CCT6A/SMC6/GNL3/HSP90AA1/HNRNPU/USP7/RFC1/PTGES3/HNRNPA2B1/PARN/CCT5/TERF2IP/HNRNPD/XRCC6/TINF2/TEP1/UPF1/SMARCAL1/MCRS1/CTC1/DCLRE1B/PARP3/PML",32
"GO:0070934","GO:0070934","CRD-mediated mRNA stabilization","7/1762","11/17073",2.79469683048075e-05,0.00441637631562728,0.00406045994687488,"IGF2BP1/PABPC1/YBX1/HNRNPU/SYNCRIP/DHX9/HNRNPD",7
"GO:0070670","GO:0070670","response to interleukin-4","13/1762","36/17073",3.39976710761333e-05,0.00523116796795135,0.00480958742896988,"CITED1/NFIL3/RPL3/HSP90AB1/XBP1/HSPA5/PTPN2/STAT6/STAT5A/PARP14/PML/IL2RG/RUFY4",13
"GO:0002573","GO:0002573","myeloid leukocyte differentiation","44/1762","229/17073",3.56034513479994e-05,0.00533777897517314,0.00490760664060008,"LTF/CAMK4/CCR7/HOXA7/SLC9B2/GPR68/ROR2/CDK6/THOC5/FBXW7/NKAP/PTPN2/APP/CDC42/HCLS1/AP3B1/TGFBR2/PSEN1/SPI1/CREB1/LTBR/NOTCH2/STAT5A/FES/GAB3/INPP5D/CSF1R/TYROBP/RARA/CEBPA/PIK3CD/MAPK14/PPARGC1B/OSCAR/BATF/CCR1/GPR137/ZFP36L1/NRROS/SH3PXD2A/IRF4/IRF7/IL31RA/BATF2",44
"GO:0010721","GO:0010721","negative regulation of cell development","51/1762","280/17073",3.98421612356887e-05,0.00582392791862679,0.00535457677449111,"CAV3/LTF/NPR2/IL17D/PGLYRP1/IL6/LAG3/SPP1/NODAL/NR2E1/NRARP/HES1/FRZB/EPHA7/BMP7/WNT3/SEMA3B/HOXA7/SEMA5B/SOX10/LIN28A/WNT5A/NTN1/GPR68/LRP4/CDK6/FBXW7/RYK/HMGB1/ANXA1/PTPN2/CTNNA1/HSPA9/PSEN1/ULK1/SEMA4A/CTDSP1/INPP5D/GSK3A/DIP2B/HDAC6/RARA/NOTCH1/CEBPA/ZBTB7B/ASCL2/GORASP1/BCL11A/GPR137/CDK5/EPHB2",51
"GO:2000767","GO:2000767","positive regulation of cytoplasmic translation","8/1762","15/17073",4.18587946422681e-05,0.00596947249447174,0.00548839189314668,"LIN28A/IGF2BP1/PABPC1/YBX1/HNRNPU/SYNCRIP/DHX9/HNRNPD",8
"GO:1900182","GO:1900182","positive regulation of protein localization to nucleus","23/1762","92/17073",4.4136396715054e-05,0.00614441694268859,0.00564923754445566,"PRKD1/FERMT2/CDK1/WWTR1/NPM1/NMD3/CCT2/LAMTOR5/CCT6A/HSP90AA1/KAT7/IPO7/HCLS1/CCT5/TYK2/PSEN1/EP300/PRKCD/MAPK14/MCRS1/SMAD3/DTX3L/PARP9",23
"GO:0051702","GO:0051702","biological process involved in interaction with symbiont","27/1762","117/17073",4.64023575865318e-05,0.00630964150717329,0.00580114663878624,"CTSG/LTF/PIK3C2G/SAP30/VAPA/SMC5/EEF1A1/NUCKS1/HSPD1/SMC6/EEA1/HDAC1/CDC42/PSMC3/RAB5A/SAP30BP/PI4KA/EP300/SP1/INPP5K/CSF1R/TBC1D20/CCNK/STOM/ZFYVE1/CCL8/APOBEC3H",27
"GO:0030217","GO:0030217","T cell differentiation","54/1762","304/17073",4.8783515406572e-05,0.0063903294147312,0.00587533189688499,"IL6/LAG3/WNT10B/CAMK4/CCR7/NRARP/CCR9/JAG2/AIRE/SOX13/ITK/EOMES/ZNF683/ZEB1/TOX/CDK6/GPR89B/LIPA/HMGB1/SOD1/ANXA1/RPL22/NKAP/XBP1/PTPN2/SMARCE1/SMARCC1/SMARCA2/AP3B1/NCKAP1L/TGFBR2/STAT6/SPI1/TSC1/SEMA4A/SPN/ZMIZ1/ARID1A/RARA/MR1/TNFSF8/ZBTB7B/PIK3CD/ASCL2/LMBR1L/BATF/PIK3R6/ZFP36L1/LGALS9/MYB/IRF4/IL2RG/RSAD2/PSMB11",54
"GO:0032608","GO:0032608","interferon-beta production","17/1762","58/17073",5.02745259240012e-05,0.0063903294147312,0.00587533189688499,"POLR3G/HSP90AA1/DHX9/IRF3/TRIM38/IRF5/STING1/POLR3A/TRIM56/TICAM1/OAS1/RIGI/IFIH1/IRF7/ISG15/OAS2/OAS3",17
"GO:0032648","GO:0032648","regulation of interferon-beta production","17/1762","58/17073",5.02745259240012e-05,0.0063903294147312,0.00587533189688499,"POLR3G/HSP90AA1/DHX9/IRF3/TRIM38/IRF5/STING1/POLR3A/TRIM56/TICAM1/OAS1/RIGI/IFIH1/IRF7/ISG15/OAS2/OAS3",17
