"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001885","GO:0001885","endothelial cell development","1/4","63/17073",0.0146799328311532,0.044916212393827,0.014530019927143,"PDE4D",1
"GO:0032623","GO:0032623","interleukin-2 production","1/4","63/17073",0.0146799328311532,0.044916212393827,0.014530019927143,"PDE4D",1
"GO:0032663","GO:0032663","regulation of interleukin-2 production","1/4","63/17073",0.0146799328311532,0.044916212393827,0.014530019927143,"PDE4D",1
"GO:0046847","GO:0046847","filopodium assembly","1/4","67/17073",0.0156065025248348,0.0470490149645754,0.0152199637626097,"SPATA13",1
"GO:0051055","GO:0051055","negative regulation of lipid biosynthetic process","1/4","68/17073",0.0158380428041418,0.0470550547079575,0.0152219175691981,"SIK1",1
"GO:0030032","GO:0030032","lamellipodium assembly","1/4","70/17073",0.0163010008234555,0.0477386452686912,0.0154430534116947,"SPATA13",1
"GO:1901019","GO:1901019","regulation of calcium ion transmembrane transporter activity","1/4","74/17073",0.0172264268393961,0.0489604730042957,0.0158383044891945,"PDE4D",1
"GO:0086003","GO:0086003","cardiac muscle cell contraction","1/4","75/17073",0.0174576812833421,0.0489604730042957,0.0158383044891945,"PDE4D",1
"GO:0009166","GO:0009166","nucleotide catabolic process","1/4","76/17073",0.0176888949128788,0.0489604730042957,0.0158383044891945,"PDE4D",1
"GO:0032729","GO:0032729","positive regulation of type II interferon production","1/4","76/17073",0.0176888949128788,0.0489604730042957,0.0158383044891945,"PDE4D",1
"GO:0019935","GO:0019935","cyclic-nucleotide-mediated signaling","1/4","78/17073",0.018151199747934,0.0489604730042957,0.0158383044891945,"PDE4D",1
"GO:0055117","GO:0055117","regulation of cardiac muscle contraction","1/4","78/17073",0.018151199747934,0.0489604730042957,0.0158383044891945,"PDE4D",1
"GO:0051279","GO:0051279","regulation of release of sequestered calcium ion into cytosol","1/4","80/17073",0.0186133413829784,0.0495549997858517,0.0160306289422781,"PDE4D",1
